TaskID,FinishTime_Chairs,,
0,1,0,???????:
1,0,0,32763.5
2,1,0,???
3,0,0,67.57%
4,1,0,???
5,0,0,32.43%
6,1,0,
7,0,0,
8,1,0,
9,0,0,
10,1,0,
11,0,0,
12,1,0,
13,0,0,
14,1,0,
15,0,0,
16,1,0,
17,0,0,
18,1,0,
19,0,0,
20,1,0,
21,0,0,
22,1,0,
23,0,0,
24,1,0,
25,0,0,
26,1,0,
27,0,0,
28,1,0,
29,0,0,
30,1,0,
31,0,0,
32,1,0,
33,0,0,
34,1,0,
35,0,0,
36,1,0,
37,0,0,
38,1,0,
39,0,0,
40,1,0,
41,0,0,
42,1,0,
43,0,0,
44,1,0,
45,0,0,
46,1,0,
47,0,0,
48,1,0,
49,1,0,
50,1,0,
51,0,0,
52,1,0,
53,0,0,
54,1,0,
55,0,0,
56,1,0,
57,0,0,
58,1,0,
59,0,0,
60,1,0,
61,0,0,
62,1,0,
63,0,0,
64,1,0,
65,0,0,
66,1,0,
67,0,0,
68,1,0,
69,0,0,
70,1,0,
71,0,0,
72,2,0,
73,0,0,
74,1,0,
75,0,0,
76,1,0,
77,0,0,
78,1,0,
79,0,0,
80,1,0,
81,0,0,
82,1,0,
83,0,0,
84,1,0,
85,0,0,
86,1,0,
87,0,0,
88,1,0,
89,0,0,
90,1,0,
91,0,0,
92,1,0,
93,0,0,
94,1,0,
95,0,0,
96,1,0,
97,0,0,
98,1,0,
99,0,0,
100,1,0,
101,0,0,
102,2,0,
103,1,0,
104,1,0,
105,0,0,
106,1,0,
107,0,0,
108,1,0,
109,0,0,
110,1,0,
111,0,0,
112,1,0,
113,0,0,
114,1,0,
115,0,0,
116,1,0,
117,0,0,
118,1,0,
119,0,0,
120,1,0,
121,0,0,
122,1,0,
123,0,0,
124,1,0,
125,0,0,
126,1,0,
127,0,0,
128,1,0,
129,0,0,
130,1,0,
131,0,0,
132,1,0,
133,0,0,
134,1,0,
135,0,0,
136,1,0,
137,0,0,
138,1,0,
139,0,0,
140,1,0,
141,0,0,
142,1,0,
143,0,0,
144,1,0,
145,0,0,
146,1,0,
147,0,0,
148,1,0,
149,0,0,
150,1,0,
151,0,0,
152,1,0,
153,0,0,
154,1,0,
155,0,0,
156,1,0,
157,0,0,
158,1,0,
159,0,0,
160,1,0,
161,0,0,
162,1,0,
163,0,0,
164,1,0,
165,0,0,
166,1,0,
167,0,0,
168,1,0,
169,0,0,
170,1,0,
171,0,0,
172,1,0,
173,0,0,
174,1,0,
175,0,0,
176,1,0,
177,0,0,
178,1,0,
179,0,0,
180,1,0,
181,0,0,
182,1,0,
183,0,0,
184,2,0,
185,2,0,
186,1,0,
187,0,0,
188,1,0,
189,0,0,
190,1,0,
191,0,0,
192,1,0,
193,0,0,
194,1,0,
195,0,0,
196,1,0,
197,0,0,
198,1,0,
199,0,0,
200,1,0,
201,0,0,
202,1,0,
203,0,0,
204,1,0,
205,0,0,
206,3,0,
207,1,0,
208,1,0,
209,0,0,
210,1,0,
211,0,0,
212,1,0,
213,0,0,
214,1,0,
215,0,0,
216,1,0,
217,0,0,
218,1,0,
219,0,0,
220,3,0,
221,2,0,
222,1,0,
223,0,0,
224,1,0,
225,0,0,
226,1,0,
227,0,0,
228,1,0,
229,0,0,
230,1,0,
231,0,0,
232,1,0,
233,0,0,
234,1,0,
235,0,0,
236,1,0,
237,0,0,
238,1,0,
239,0,0,
240,1,0,
241,0,0,
242,1,0,
243,0,0,
244,1,0,
245,0,0,
246,1,0,
247,0,0,
248,1,0,
249,0,0,
250,1,0,
251,0,0,
252,1,0,
253,0,0,
254,1,0,
255,0,0,
256,1,0,
257,0,0,
258,1,0,
259,0,0,
260,1,0,
261,0,0,
262,1,0,
263,0,0,
264,1,0,
265,0,0,
266,1,0,
267,0,0,
268,1,0,
269,0,0,
270,1,0,
271,0,0,
272,1,0,
273,0,0,
274,1,0,
275,1,0,
276,1,0,
277,0,0,
278,2,0,
279,1,0,
280,1,0,
281,0,0,
282,1,0,
283,0,0,
284,1,0,
285,0,0,
286,1,0,
287,0,0,
288,1,0,
289,0,0,
290,1,0,
291,0,0,
292,1,0,
293,0,0,
294,1,0,
295,0,0,
296,1,0,
297,1,0,
298,1,0,
299,1,0,
300,1,0,
301,0,0,
302,2,0,
303,0,0,
304,1,0,
305,0,0,
306,2,0,
307,0,0,
308,1,0,
309,0,0,
310,1,0,
311,0,0,
312,1,0,
313,0,0,
314,1,0,
315,0,0,
316,1,0,
317,0,0,
318,2,0,
319,0,0,
320,1,0,
321,0,0,
322,1,0,
323,0,0,
324,1,0,
325,0,0,
326,1,0,
327,0,0,
328,1,0,
329,0,0,
330,1,0,
331,0,0,
332,1,0,
333,0,0,
334,1,0,
335,0,0,
336,1,0,
337,0,0,
338,1,0,
339,0,0,
340,1,0,
341,0,0,
342,1,0,
343,0,0,
344,1,0,
345,0,0,
346,1,0,
347,0,0,
348,1,0,
349,0,0,
350,1,0,
351,0,0,
352,1,0,
353,0,0,
354,1,0,
355,0,0,
356,1,0,
357,0,0,
358,1,0,
359,0,0,
360,1,0,
361,0,0,
362,1,0,
363,0,0,
364,2,0,
365,1,0,
366,1,0,
367,0,0,
368,1,0,
369,0,0,
370,1,0,
371,0,0,
372,1,0,
373,0,0,
374,2,0,
375,1,0,
376,1,0,
377,0,0,
378,1,0,
379,0,0,
380,1,0,
381,0,0,
382,1,0,
383,0,0,
384,1,0,
385,0,0,
386,1,0,
