TaskID,FinishTime
0,24.000000
1,94.000000
2,36.000000
3,72.000000
4,36.000000
5,83.000000
6,60.000000
7,120.000000
8,60.000000
9,96.000000
10,84.000000
11,144.000000
12,107.000000
13,154.000000
14,108.000000
15,144.000000
16,96.000000
17,108.000000
18,108.000000
19,132.000000
20,156.000000
21,203.000000
22,156.000000
23,168.000000
24,144.000000
25,204.000000
26,168.000000
27,204.000000
28,192.000000
29,239.000000
30,180.000000
31,227.000000
32,228.000000
33,298.000000
34,216.000000
35,228.000000
36,228.000000
37,252.000000
38,240.000000
39,264.000000
40,240.000000
41,310.000000
42,264.000000
43,300.000000
44,276.000000
45,300.000000
46,288.000000
47,312.000000
48,300.000000
49,347.000000
50,300.000000
51,312.000000
52,312.000000
53,324.000000
54,324.000000
55,371.000000
56,348.000000
57,384.000000
58,348.000000
59,372.000000
60,384.000000
61,454.000000
62,384.000000
63,396.000000
64,384.000000
65,444.000000
66,396.000000
67,408.000000
68,408.000000
69,478.000000
70,420.000000
71,467.000000
72,432.000000
73,468.000000
74,466.000000
75,478.000000
76,468.000000
77,492.000000
78,480.000000
79,527.000000
80,492.000000
81,539.000000
82,492.000000
83,516.000000
84,516.000000
85,528.000000
86,540.000000
87,610.000000
88,539.000000
89,575.000000
90,564.000000
91,600.000000
92,564.000000
93,624.000000
94,588.000000
95,612.000000
96,588.000000
97,600.000000
98,624.000000
99,684.000000
100,612.000000
101,682.000000
102,612.000000
103,659.000000
104,624.000000
105,694.000000
106,660.000000
107,684.000000
108,660.000000
109,684.000000
110,672.000000
111,708.000000
112,696.000000
113,732.000000
114,694.000000
115,706.000000
116,708.000000
117,732.000000
118,744.000000
119,804.000000
120,732.000000
121,756.000000
122,744.000000
123,768.000000
124,756.000000
125,780.000000
126,756.000000
127,803.000000
128,780.000000
129,840.000000
130,804.000000
131,864.000000
132,816.000000
133,852.000000
134,804.000000
135,816.000000
136,816.000000
137,863.000000
138,852.000000
139,888.000000
140,864.000000
141,911.000000
142,876.000000
143,950.000000
144,876.000000
145,888.000000
146,900.000000
147,936.000000
148,912.000000
149,936.000000
150,900.000000
151,924.000000
152,912.000000
153,972.000000
154,971.000000
155,983.000000
156,960.000000
157,1030.000000
158,960.000000
159,984.000000
160,984.000000
161,996.000000
162,996.000000
163,1020.000000
164,996.000000
165,1043.000000
166,1008.000000
167,1055.000000
168,1020.000000
169,1056.000000
170,1032.000000
171,1068.000000
172,1068.000000
173,1128.000000
174,1044.000000
175,1056.000000
176,1068.000000
177,1138.000000
178,1068.000000
179,1142.000000
180,1080.000000
181,1092.000000
182,1092.000000
183,1152.000000
184,1128.000000
185,1164.000000
186,1140.000000
187,1164.000000
188,1142.000000
189,-1.000000
190,1166.000000
191,-1.000000
192,1152.000000
193,-1.000000
194,1176.000000
195,1188.000000
196,-1.000000
197,-1.000000
198,-1.000000
199,-1.000000
