TaskID,FinishTime_Chairs,,
0,1,0,???????:
1,0,0,24802.5
2,1,0,???
3,0,0,51.15%
4,1,0,???
5,0,0,48.85%
6,1,0,
7,0,0,
8,1,0,
9,0,0,
10,1,0,
11,0,0,
12,1,0,
13,0,0,
14,1,0,
15,0,0,
16,1,0,
17,0,0,
18,1,0,
19,0,0,
20,1,0,
21,0,0,
22,1,0,
23,0,0,
24,1,0,
25,0,0,
26,1,0,
27,1,0,
28,1,0,
29,0,0,
30,1,0,
31,0,0,
32,1,0,
33,0,0,
34,1,0,
35,0,0,
36,1,0,
37,0,0,
38,1,0,
39,0,0,
40,1,0,
41,0,0,
42,1,0,
43,0,0,
44,1,0,
45,0,0,
46,1,0,
47,0,0,
48,1,0,
49,0,0,
50,1,0,
51,0,0,
52,1,0,
53,0,0,
54,1,0,
55,0,0,
56,1,0,
57,0,0,
58,1,0,
59,0,0,
60,1,0,
61,0,0,
62,1,0,
63,0,0,
64,1,0,
65,0,0,
66,1,0,
67,0,0,
68,1,0,
69,0,0,
70,1,0,
71,0,0,
72,1,0,
73,0,0,
74,1,0,
75,0,0,
76,1,0,
77,0,0,
78,1,0,
79,0,0,
80,1,0,
81,0,0,
82,1,0,
83,0,0,
84,1,0,
85,0,0,
86,1,0,
87,0,0,
88,1,0,
89,0,0,
90,1,0,
91,0,0,
92,1,0,
93,0,0,
94,1,0,
95,0,0,
96,1,0,
97,0,0,
98,1,0,
99,0,0,
100,1,0,
101,0,0,
102,2,0,
103,1,0,
104,1,0,
105,0,0,
106,1,0,
107,0,0,
108,1,0,
109,0,0,
110,1,0,
111,0,0,
112,1,0,
113,0,0,
114,1,0,
115,0,0,
116,1,0,
117,0,0,
118,1,0,
119,0,0,
120,1,0,
121,0,0,
122,1,0,
123,0,0,
124,1,0,
125,0,0,
126,1,0,
127,0,0,
128,1,0,
129,0,0,
130,1,0,
131,0,0,
132,1,0,
133,0,0,
134,1,0,
135,0,0,
136,1,0,
137,0,0,
138,1,0,
139,0,0,
140,1,0,
141,0,0,
142,1,0,
143,0,0,
144,1,0,
145,0,0,
146,1,0,
147,0,0,
148,1,0,
149,0,0,
150,1,0,
151,0,0,
152,1,0,
153,0,0,
154,1,0,
155,0,0,
156,1,0,
157,0,0,
158,1,0,
159,0,0,
160,1,0,
161,0,0,
162,1,0,
163,0,0,
164,1,0,
165,0,0,
166,1,0,
167,0,0,
168,1,0,
169,0,0,
170,1,0,
171,1,0,
172,1,0,
173,0,0,
174,1,0,
175,0,0,
176,1,0,
177,0,0,
178,1,0,
179,0,0,
180,1,0,
181,0,0,
182,1,0,
183,0,0,
184,1,0,
185,0,0,
186,1,0,
187,1,0,
188,1,0,
189,0,0,
190,1,0,
191,0,0,
192,2,0,
193,1,0,
194,2,0,
195,0,0,
196,1,0,
197,0,0,
198,1,0,
199,0,0,
200,1,0,
201,0,0,
202,1,0,
203,0,0,
204,1,0,
205,0,0,
206,1,0,
207,0,0,
208,1,0,
209,0,0,
210,1,0,
211,0,0,
212,1,0,
213,1,0,
214,1,0,
215,0,0,
216,1,0,
217,0,0,
218,1,0,
219,0,0,
220,1,0,
221,0,0,
222,1,0,
223,0,0,
224,1,0,
225,0,0,
226,1,0,
227,0,0,
228,1,0,
229,0,0,
230,1,0,
231,0,0,
232,1,0,
233,0,0,
234,1,0,
235,0,0,
236,1,0,
237,0,0,
238,1,0,
239,0,0,
240,1,0,
241,0,0,
242,1,0,
243,0,0,
244,1,0,
245,0,0,
246,1,0,
247,0,0,
248,2,0,
249,1,0,
250,1,0,
251,0,0,
252,1,0,
253,0,0,
254,1,0,
255,0,0,
256,2,0,
257,1,0,
258,2,0,
259,1,0,
260,1,0,
261,0,0,
262,1,0,
263,0,0,
264,1,0,
265,0,0,
266,1,0,
267,0,0,
268,1,0,
269,0,0,
270,1,0,
271,1,0,
272,2,0,
273,0,0,
274,1,0,
275,0,0,
276,1,0,
277,0,0,
278,1,0,
279,0,0,
280,2,0,
281,1,0,
282,1,0,
283,0,0,
284,1,0,
285,0,0,
286,1,0,
287,0,0,
288,1,0,
289,0,0,
290,1,0,
291,0,0,
292,1,0,
293,0,0,
294,1,0,
295,0,0,
296,1,0,
297,0,0,
298,2,0,
299,1,0,
300,1,0,
301,0,0,
302,1,0,
303,0,0,
304,1,0,
305,0,0,
306,1,0,
307,0,0,
308,1,0,
309,0,0,
310,1,0,
311,0,0,
312,1,0,
313,0,0,
314,1,0,
315,0,0,
316,1,0,
317,0,0,
318,1,0,
